# t = 6.12917
# states below are after 100000 heatup MC steps
# legend: 
# <step>	<configuration>
0	000000000010111111110000111100001100000000011100000011110000000000000000000000000000000000100010111110000100000000000100011011111101000011000001101100000000000000111011000011110011000000000111111000001111001100111111000010110000111100000000000000011110000000001101000000001110011000001000111111011000000000111111010000001111000011000101111101001111011010111111000000001000000000001100111111100000000010001111001111111111111111111111111100000000000000000100100100000000000000000000000000001111001010001000101101110001111111000011000011111111100101010000000011110001000011110000000011110000111111110011
1	000000000000101111110000111100001100000000001100000011110000000000000000000001000000011100110011110010000000000000000001000111111100000011000010100100000000100101110011000011010010000000000111111100001111000000111110000011110000111100000010001000001011000000001100000000001111000100001000111101010000000000101111100100001111000011001100111100001011000000111111000000000000000000011000111011100010010010001111000011111111111111111111111100000110000000000001000000000110000000000000001000001111000000101100101111111001111111001011000011111110100001110000000011110000000011110000100011110001111111110011
2	000000000000101101110000011000001000000000001100000011110000000010000000000000000000111100110011000000000000000000000011000000011111010011000010100100000000100111010111110010010000000000000101111100001111000010110100000111110000111111000010000000000010000000001100000000001111000000001000111101110000011000111111000000101111000001000000111100001000000000111111000000000000000000000000111011110011000011001101000011111111111111111111111101101111000000000011000000000110000000000000101100001110011000101000111111110001111111110011000011110111100011100000000011110000000011110000001011110000111111111011
3	000100000110101101110011111100010000000000001100000011110000100011000000000000000000111111110010000000000100000000000011000000000111111111000011100100100000100101010111110010000000000000000101111100000111000011111100100000110000100101010001000000000000000000000000000010011100000000000000111111111011001000111111000000000111000000000000111100001000000000001111000000000000000000011001111111010011000011001111000011111111111111111111101100001011000000111011000010000011010010000000111100001111010000001111111111110000111101110011010011100110110011100100000011110000001001110000000001110000111111011011
4	000100110010101101110011111110010000000000001111000011110000111011000000000000110101111111110000000000000000000000000000000000111111111111100011000100100000100001001111110010000010000000000001111100000010000000110100000010110100100101000001000000000000000000000000000010010000000000000000111111111111001000111111000000000110000000000000111100000000000000001111000000000000000000010101111111011011000010001111000011111111111111111110111100001000011000101111000000001011000011000000111100001111010010001100111111110000111111110011010011100100000011110100000011100001011011110010001001100000111111111010
5	000000000000101100110010111100011000000000001111000010110000000111000000000010010001111110000000000000000000000000000001000101111111111111100010000000000000100001001100000010010110000000000000110100000000001100110110001011110010101101011000000100010000000000000010000000010000000000000000111101001011001010111110000000000100000000000000111100001000000000001111010000000000000000000100111111001011000000011111000011111111111111110111111100000000000001001111000000001011000011000000011100001011000000001110111111110000111111110011010011110100000010110000000011000001111010110011000000100000111111110000
6	000000000000111100110010111100011100000000001111000010110000100011000000000010010000011010100000000000000000000000000011111111110111111111000010010000000000000000000100000010011100010010000000000001001000000000111110001011110000110111011000000000000000000000000010000011110000000000000000111101001001000010101110000000000100000000001000111100001100000000001111000010010000000000000100111101001111000000101111000001111111111111110000111100000000000000001011000000001011000011001000011100001111000000001100110111110001111111110011000011100000000011110000000001000000111110110000000001110000111111110011
7	000000000000111110110001100100000100000000001011000010110000110011000000000010110001011111100000000000000100000000000011111101111111111111100011010000000000000000000100000010011111010010000000000000000000000010111101001011110010111111011000000001010000000100010011000011110000000000000000111001001001011011101111000000000110000000001000111100001100000000001111000010010000000000001100110100001111001000101111000001001111111101110000111101000000000000000111001100001011000001011010111111001001000000111110100011100001111111110011000010100000000001110000000001100000111100110011000011100000111111110000
8	000000000000111110110000111100011111000000001011000011110010100001000000000011110000111111111100000000000000000000000001111101111111110111000011000000000000010000000100000000001111010010000100001000000000000001010100001000110000111111111100000011110000000000000001000011110000000000000000101001000011010010101111000000000100000000000000111000010000000000000101000011011000000000001110111100001111000000001111000001001111111111110000111101000000000000000011100100001011000011001110111111000000001000100101111111110011111111111110000010110100000001000000000001000000011010110011000011110000111110110000
9	000000000000011110110000111100001111000011001111000010110010000001000100011011110000111110111100000011000000000000000000111111101111111111010011000000000000000010101100011000001111011010100000001000100000000100110000000100010000111111111100000011110000000000000001000010000010000000000000001001001001000000100011000000000110000000000000110000000000000000000111000001010000000000001111111100000010000000001111000011011111111111110000111100001000000000011111000000000011000010000000110010000000001000110101111111111011111111111110000011110000000000000000000000010000011010110100000011110000101101010000
10	000000010100011110110000111100001111000010001111000011111010000001001100000010001000111100111100001011010000000000000000111101101111111111001111000000000000000011101100110000001111011010101100000000000000000100110000111100011011111111101100000011110000000000000011000000000000000000000000010000000001000010000111000000000100000000000000000000000000000000000111000000000000000000001111111100001111000000001111000011011111111111110000111100001000000000001110000000100011000011000000110000000000110000110101111110111011111111111100000011110000000000000100000000010000000010110010000011110000110101010000
